Concurso;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;bola 8;bola 9;bola 10;bola 11;bola 12;bola 13;bola 14;bola 15
1890;5;1;2;7;10;13;17;21;23;4;9;8;15;16;11
1889;25;2;14;22;4;19;20;23;15;7;6;24;13;1;11
1888;25;17;24;2;8;4;6;7;20;12;22;11;18;23;14
1887;7;17;14;6;4;10;22;9;12;3;16;18;8;11;1
1886;25;16;3;6;20;15;11;9;22;19;1;21;2;14;12
1885;10;9;23;11;25;1;8;21;17;3;22;12;5;14;18
1884;6;25;3;23;11;16;7;2;5;9;14;17;12;8;1
1883;3;11;1;4;15;18;17;21;22;13;8;5;2;23;16
1882;23;13;11;12;24;5;1;9;16;3;14;4;22;15;8
1881;14;3;17;10;1;21;24;4;19;15;16;5;23;18;25
1880;5;23;15;22;18;1;20;11;13;19;7;9;4;24;6
1879;8;16;25;19;20;6;13;11;21;2;4;10;15;5;24
1878;8;1;24;15;3;19;4;10;23;12;17;5;2;6;25
1877;11;25;18;4;8;24;15;9;2;23;12;21;14;19;13
1876;20;8;3;23;18;11;19;2;1;7;16;24;13;22;4
1875;7;13;1;18;22;16;24;23;4;3;14;5;8;21;19
1874;19;1;25;13;14;5;24;6;17;20;8;21;22;9;10
1873;11;17;14;4;23;9;12;5;8;15;19;10;21;1;7
1872;13;1;14;9;20;22;25;8;6;19;17;2;15;21;23
1871;1;24;4;5;13;11;6;8;2;22;7;23;18;14;20
1870;16;25;24;3;1;2;20;4;22;7;10;21;18;6;15
1869;15;24;23;4;17;25;13;21;22;2;1;14;11;10;18
1868;2;11;10;16;8;1;5;21;4;19;24;17;13;14;6
1867;5;13;6;17;1;4;15;7;8;12;16;9;18;2;25
1866;12;21;4;25;23;16;13;14;3;20;2;11;1;5;10
1865;7;2;19;21;3;12;5;14;10;20;25;17;11;6;24
1864;24;10;6;25;14;21;12;3;20;2;9;7;18;8;16
1863;5;8;21;6;14;25;16;9;18;4;2;3;24;22;10
1862;16;21;20;7;3;13;5;18;11;2;23;4;19;24;10
1861;22;6;24;25;18;14;16;7;9;3;8;5;13;2;23
1860;3;24;15;22;1;10;11;2;17;18;21;5;4;19;23
1859;20;6;12;7;21;25;3;13;17;8;24;19;9;16;22
1858;25;3;2;15;17;13;9;21;8;20;7;4;18;22;11
1857;17;22;15;24;25;7;14;2;9;6;4;20;16;23;8
1856;18;10;11;1;3;4;13;16;20;8;23;7;21;17;12
1855;17;15;11;12;1;13;16;20;7;14;24;23;25;5;4
1854;16;4;15;20;8;24;17;5;14;13;22;18;11;6;3
1853;3;15;20;22;1;13;24;5;14;10;17;11;9;16;23
1852;1;19;20;17;12;9;25;24;3;23;10;21;6;13;18
1851;10;19;1;20;16;5;25;13;23;22;6;11;7;8;9
1850;20;15;7;11;21;23;4;5;10;12;16;18;24;14;25
1849;25;21;19;22;17;1;9;13;18;12;11;5;23;14;24
1848;11;15;24;9;3;13;17;21;8;22;7;16;20;18;2
1847;15;19;7;14;23;2;17;3;8;24;1;18;20;5;9
1846;20;3;25;19;18;2;10;9;1;12;15;14;24;11;22
1845;20;11;23;8;6;4;19;17;18;14;15;3;10;21;5
1844;12;17;14;25;5;11;16;15;21;6;8;3;1;23;7
1843;15;6;17;21;8;14;12;24;19;22;16;20;11;4;7
1842;9;19;14;20;3;13;4;12;6;21;5;16;23;17;11
1841;8;3;1;7;6;21;25;2;13;18;17;12;11;4;22
1840;16;6;14;11;7;15;10;19;21;24;12;2;3;13;17
1839;19;1;15;24;25;3;17;23;8;14;4;6;9;18;7
1838;3;9;23;12;16;5;25;21;10;1;8;22;20;15;18
1837;11;12;13;8;16;24;25;5;15;9;21;1;4;6;14
1836;6;15;4;1;3;17;7;9;14;24;18;25;8;12;19
1835;1;4;16;23;20;11;18;21;15;24;7;14;6;13;22
1834;21;23;13;18;20;6;15;5;12;17;19;22;14;2;8
1833;24;23;11;20;12;9;25;15;21;14;16;1;19;7;18
1832;19;10;21;7;8;20;22;2;11;23;25;9;18;24;16
1831;21;20;23;8;10;18;19;2;12;14;4;9;22;16;5
1830;12;1;11;14;3;24;10;19;5;20;23;8;18;17;22
1829;5;13;7;19;21;16;15;3;10;24;22;4;11;2;23
1828;19;13;7;5;6;1;15;21;11;23;12;24;8;9;2
1827;14;13;24;12;19;22;10;17;6;3;4;21;7;18;1
