0001=18,20,25,23,10,11,24,14,06,02,13,09,05,16,03
0002=23,15,05,04,12,16,20,06,11,19,24,01,09,13,07
0003=20,23,12,08,06,01,07,11,14,04,16,10,09,17,24
0004=16,05,25,24,23,08,12,02,17,18,01,10,04,19,13
0005=15,13,20,02,11,24,09,16,04,23,25,12,08,19,01
0006=23,19,01,05,07,21,16,10,15,25,06,02,12,04,17
0007=22,04,15,08,16,14,21,23,12,01,25,19,07,10,18
0008=19,16,18,09,13,08,05,25,17,10,06,15,01,22,20
0009=21,04,17,05,03,13,16,09,20,24,25,19,11,15,10
0010=24,19,08,23,06,02,20,11,09,03,04,10,05,12,14
0011=24,09,08,19,20,22,06,10,11,16,07,25,23,02,12
0012=11,05,25,01,09,08,16,04,07,24,17,02,12,14,10
0013=13,06,10,05,08,14,03,11,16,15,09,17,19,07,23
0014=14,21,13,19,20,06,09,05,07,23,18,01,15,02,25
0015=23,06,21,04,10,24,16,01,15,02,08,19,12,18,25
0016=24,17,05,08,07,12,13,02,15,10,19,25,23,21,06
0017=13,20,17,01,06,07,02,14,05,09,16,19,03,21,18
0018=02,23,10,07,11,14,17,22,15,06,24,08,19,20,18
0019=15,17,10,23,11,24,13,14,06,02,08,05,20,16,07
0020=04,09,08,24,16,20,03,17,18,19,07,06,23,14,10
0021=05,02,01,22,19,08,24,04,25,23,18,20,14,11,16
0022=13,15,05,09,07,10,01,03,22,02,25,14,06,04,12
0023=10,11,05,19,18,14,06,04,20,01,08,03,12,16,17
0024=01,19,21,14,02,23,25,05,20,11,07,10,24,17,03
0025=04,23,20,02,05,13,07,09,24,03,01,06,14,22,16
0026=19,11,07,16,08,21,05,10,20,13,23,09,17,14,22
0027=25,06,22,21,11,24,03,14,12,13,20,08,10,15,18
0028=18,21,11,07,09,03,20,16,14,12,13,17,01,19,10
0029=13,14,06,01,24,04,08,05,17,22,21,19,20,09,16
0030=22,02,01,17,08,04,19,20,11,14,06,21,07,23,03
0031=01,03,22,14,21,17,24,15,20,13,02,19,04,25,09
